playerId,name,positionCode,teamId,teamAbbrev,lastTeamId,lastTeamAbbrev,lastSeasonId,sweaterNumber,active,height,heightInCentimeters,weightInPounds,weightInKilograms,birthCity,birthStateProvince,birthCountry,update_ts
8480981,Joel Hofer,G,19,STL,19,STL,20232024,30,TRUE,6'5",196,179,81,Winnipeg,Manitoba,CAN,2024-02-09 18:34:29.0241
8483455,Isaac Howard,L,14,TBL,14,TBL,NA,NA,TRUE,5'10",178,182,82,Hudson,Wisconsin,USA,2024-02-09 18:34:29.0241
8481559,Jack Hughes,C,1,NJD,1,NJD,20232024,86,TRUE,5'11",180,175,79,Orlando,Florida,USA,2024-02-09 18:34:29.0241
8476779,Brad Hunt,D,21,COL,21,COL,20222023,17,TRUE,5'9",175,177,80,Maple Ridge,British Columbia,CAN,2024-02-09 18:34:29.0241
8482694,Justin Janicke,L,55,SEA,55,SEA,NA,NA,TRUE,5'11",180,185,83,Maple Grove,Minnesota,USA,2024-02-09 18:34:29.0241
8483712,Ludvig Jansson,D,13,FLA,13,FLA,NA,NA,TRUE,6'0",183,176,79,Stockholm,NA,SWE,2024-02-09 18:34:29.0241
8482907,Oskar Jellvik,L,6,BOS,6,BOS,NA,NA,TRUE,5'11",180,175,79,Stockholm,NA,SWE,2024-02-09 18:34:29.0241
8475324,Nick Jensen,D,15,WSH,15,WSH,20232024,3,TRUE,6'1",185,205,92,Rogers,Minnesota,USA,2024-02-09 18:34:29.0241
8479536,Axel Jonsson-Fjallby,L,52,WPG,52,WPG,20232024,71,TRUE,6'1",185,189,85,Stockholm,NA,SWE,2024-02-09 18:34:29.0241
8479370,Tyson Jost,C,7,BUF,7,BUF,20232024,17,TRUE,5'11",180,187,84,St. Albert,Alberta,CAN,2024-02-09 18:34:29.0241
8481560,Arthur Kaliyev,R,26,LAK,26,LAK,20232024,34,TRUE,6'2",188,210,95,Tashkent,NA,UZB,2024-02-09 18:34:29.0241
8478436,David Kase,R,12,CAR,12,CAR,20202021,NA,TRUE,5'11",180,169,76,Kadan,NA,CZE,2024-02-09 18:34:29.0241
8482209,Rory Kerins,C,20,CGY,20,CGY,NA,86,TRUE,5'10",178,175,79,Caledon,Ontario,CAN,2024-02-09 18:34:29.0241
8482516,Matthew Kessel,D,19,STL,19,STL,20232024,51,TRUE,6'2",188,205,92,Phoenix,Arizona,USA,2024-02-09 18:34:29.0241
8473986,Alex Killorn,L,24,ANA,24,ANA,20232024,17,TRUE,6'1",185,194,87,Halifax,Nova Scotia,CAN,2024-02-09 18:34:29.0241
8482918,Danila Klimovich,R,23,VAN,23,VAN,NA,46,TRUE,6'2",188,202,91,Pinsk,NA,BLR,2024-02-09 18:34:29.0241
8484326,Patrik Koch,D,53,ARI,53,ARI,20232024,64,TRUE,6'1",185,190,86,Malacky,NA,SVK,2024-02-09 18:34:29.0241
8483732,Vsevolod Komarov,D,7,BUF,7,BUF,NA,76,TRUE,6'2",188,182,82,Chelyabinsk,NA,RUS,2024-02-09 18:34:29.0241
8479533,Joona Koppanen,L,5,PIT,5,PIT,20232024,15,TRUE,6'5",196,216,97,Tampere,NA,FIN,2024-02-09 18:34:29.0241
8482894,Jakub Kos,L,13,FLA,13,FLA,NA,NA,TRUE,6'2",188,174,78,Kurim,NA,CZE,2024-02-09 18:34:29.0241
8481051,Cole Krygier,D,26,LAK,26,LAK,NA,NA,TRUE,6'3",191,192,86,Orlando,Florida,USA,2024-02-09 18:34:29.0241
8483469,Kasper Kulonummi,D,18,NSH,18,NSH,NA,NA,TRUE,6'1",185,181,81,Helsinki,NA,FIN,2024-02-09 18:34:29.0241
8480845,Rasmus Kupari,C,52,WPG,52,WPG,20232024,15,TRUE,6'2",188,201,90,Kotka,NA,FIN,2024-02-09 18:34:29.0241
8483727,Connor Kurth,R,14,TBL,14,TBL,NA,NA,TRUE,5'11",180,207,93,Elk River,Minnesota,USA,2024-02-09 18:34:29.0241
8483808,Andrei Kuzmenko,L,23,VAN,23,VAN,20232024,96,TRUE,5'11",180,194,87,Yakutsk,NA,RUS,2024-02-09 18:34:29.0241
8482165,Yan Kuznetsov,D,20,CGY,20,CGY,20232024,37,TRUE,6'4",193,209,94,Murmansk,NA,RUS,2024-02-09 18:34:29.0241
8483690,Noah Laba,C,3,NYR,3,NYR,NA,NA,TRUE,6'2",188,191,86,Northville,Michigan,USA,2024-02-09 18:34:29.0241
8481000,Mathias Laferriere,R,19,STL,19,STL,NA,58,TRUE,6'2",188,188,85,Montréal,Quebec,CAN,2024-02-09 18:34:29.0241
8482148,Hendrix Lapierre,C,15,WSH,15,WSH,20232024,29,TRUE,6'0",183,180,81,Gatineau,Quebec,CAN,2024-02-09 18:34:29.0241
8475314,Anders Lee,L,2,NYI,2,NYI,20232024,27,TRUE,6'3",191,227,102,Edina,Minnesota,USA,2024-02-09 18:34:29.0241
8481594,Nathan Légaré,R,8,MTL,8,MTL,NA,32,TRUE,6'0",183,200,90,Montréal,Quebec,CAN,2024-02-09 18:34:29.0241
8479324,Ryan Lindgren,D,3,NYR,3,NYR,20232024,55,TRUE,6'0",183,193,87,Burnsville,Minnesota,USA,2024-02-09 18:34:29.0241
8481531,Owen Lindmark,C,13,FLA,13,FLA,NA,NA,TRUE,6'0",183,192,86,Enid,Oklahoma,USA,2024-02-09 18:34:29.0241
8478904,Steven Lorentz,C,13,FLA,13,FLA,20232024,18,TRUE,6'4",193,216,97,Kitchener,Ontario,CAN,2024-02-09 18:34:29.0241
8480950,Ilya Lyubushkin,D,24,ANA,24,ANA,20232024,46,TRUE,6'2",188,200,90,Moscow,NA,RUS,2024-02-09 18:34:29.0241
8483693,Joel Maatta,C,22,EDM,22,EDM,NA,NA,TRUE,6'1",185,200,90,Helsinki,NA,FIN,2024-02-09 18:34:29.0241
8481237,Kyle MacLean,C,2,NYI,2,NYI,20232024,32,TRUE,6'1",185,190,86,Livingston,New Jersey,USA,2024-02-09 18:34:29.0241
8483767,Nick Malik,G,14,TBL,14,TBL,NA,NA,TRUE,6'1",185,177,80,Raleigh,North Carolina,USA,2024-02-09 18:34:29.0241
8484114,Anton Malmstrom,D,19,STL,19,STL,NA,NA,TRUE,6'4",193,200,90,Österhaninge,NA,SWE,2024-02-09 18:34:29.0241
8480893,Kirill Marchenko,R,29,CBJ,29,CBJ,20232024,86,TRUE,6'3",191,195,88,Barnaul,NA,RUS,2024-02-09 18:34:29.0241
8482759,Viljami Marjala,L,7,BUF,7,BUF,NA,81,TRUE,6'0",183,178,80,Oulu,NA,FIN,2024-02-09 18:34:29.0241
8484321,Nikolas Matinpalo,D,9,OTT,9,OTT,20232024,33,TRUE,6'3",191,207,93,Espoo,NA,FIN,2024-02-09 18:34:29.0241
8479325,Charlie McAvoy,D,6,BOS,6,BOS,20232024,73,TRUE,6'1",185,209,94,Long Beach,New York,USA,2024-02-09 18:34:29.0241
8476934,Brock McGinn,L,24,ANA,24,ANA,20232024,26,TRUE,6'0",183,187,84,Fergus,Ontario,CAN,2024-02-09 18:34:29.0241
8475735,Greg McKegg,C,22,EDM,22,EDM,20212022,15,TRUE,6'0",183,195,88,St. Thomas,Ontario,CAN,2024-02-09 18:34:29.0241
8481624,Ilya Mikheyev,R,23,VAN,23,VAN,20232024,65,TRUE,6'2",188,192,86,Omsk,NA,RUS,2024-02-09 18:34:29.0241
8477947,Sonny Milano,L,15,WSH,15,WSH,20232024,15,TRUE,6'0",183,194,87,Massapequa,New York,USA,2024-02-09 18:34:29.0241
8480817,K'Andre Miller,D,3,NYR,3,NYR,20232024,79,TRUE,6'5",196,210,95,St. Paul,Minnesota,USA,2024-02-09 18:34:29.0241
8484262,Travis Mitchell,D,2,NYI,2,NYI,NA,45,TRUE,6'4",193,206,93,South Lyon,Michigan,USA,2024-02-09 18:34:29.0241
8482687,Luke Mittelstadt,D,8,MTL,8,MTL,NA,NA,TRUE,5'11",180,178,80,Eden Prairie,Minnesota,USA,2024-02-09 18:34:29.0241
8482655,J.J. Moser,D,53,ARI,53,ARI,20232024,90,TRUE,6'1",185,173,78,Biel,NA,CHE,2024-02-09 18:34:29.0241
8483753,Joey Muldowney,R,28,SJS,28,SJS,NA,50,TRUE,5'11",180,155,70,Lakeview,New York,USA,2024-02-09 18:34:29.0241
8483575,Matt Murray,G,25,DAL,25,DAL,20232024,32,TRUE,6'1",185,196,88,St. Albert,Alberta,CAN,2024-02-09 18:34:29.0241
8483736,Tyler Muszelik,G,13,FLA,13,FLA,NA,NA,TRUE,6'3",191,195,88,Long Valley,New Jersey,USA,2024-02-09 18:34:29.0241
8478107,Ivan Nalimov,G,16,CHI,16,CHI,NA,NA,TRUE,6'4",193,210,95,Novokuznetsk,NA,RUS,2024-02-09 18:34:29.0241
8484204,Zach Nehring,R,52,WPG,52,WPG,NA,NA,TRUE,6'3",191,179,81,Minot,North Dakota,USA,2024-02-09 18:34:29.0241
8482089,Jake Neighbours,L,19,STL,19,STL,20232024,63,TRUE,6'0",183,201,90,Calgary,Alberta,CAN,2024-02-09 18:34:29.0241
8483496,Viktor Neuchev,L,7,BUF,7,BUF,NA,NA,TRUE,6'2",188,165,74,Chelyabinsk,NA,RUS,2024-02-09 18:34:29.0241
8483497,Jani Nyman,R,55,SEA,55,SEA,NA,NA,TRUE,6'2",188,212,95,Valkeakoski,NA,FIN,2024-02-09 18:34:29.0241
8476467,Jamie Oleksiak,D,55,SEA,55,SEA,20232024,24,TRUE,6'7",201,257,116,Toronto,Ontario,CAN,2024-02-09 18:34:29.0241
8478109,Victor Olofsson,L,7,BUF,7,BUF,20232024,71,TRUE,5'11",180,182,82,Ornskoldsvik,NA,SWE,2024-02-09 18:34:29.0241
8470794,Joe Pavelski,C,25,DAL,25,DAL,20232024,16,TRUE,6'1",185,196,88,Plover,Wisconsin,USA,2024-02-09 18:34:29.0241
8480246,Nick Perbix,D,14,TBL,14,TBL,20232024,48,TRUE,6'3",191,202,91,Elk River,Minnesota,USA,2024-02-09 18:34:29.0241
8483501,Alexander Perevalov,L,12,CAR,12,CAR,NA,NA,TRUE,6'0",183,191,86,Mezhdurechensk,NA,RUS,2024-02-09 18:34:29.0241
8477969,Marcus Pettersson,D,5,PIT,5,PIT,20232024,28,TRUE,6'3",191,177,80,Skelleftea,NA,SWE,2024-02-09 18:34:29.0241
8477314,Brian Pinho,C,2,NYI,2,NYI,20202021,51,TRUE,6'2",188,188,85,Beverly,Massachusetts,USA,2024-02-09 18:34:29.0241
8481596,Shane Pinto,C,9,OTT,9,OTT,20232024,57,TRUE,6'3",191,201,90,Franklin Square,New York,USA,2024-02-09 18:34:29.0241
8482769,Prokhor Poltapov,L,7,BUF,7,BUF,NA,NA,TRUE,6'0",183,176,79,St. Petersburg,NA,RUS,2024-02-09 18:34:29.0241
8482102,Vasily Ponomarev,C,12,CAR,12,CAR,20232024,92,TRUE,5'10",178,180,81,Moscow,NA,RUS,2024-02-09 18:34:29.0241
8481591,Sam Poulin,R,5,PIT,5,PIT,20222023,22,TRUE,6'1",185,208,94,Blainville,Quebec,CAN,2024-02-09 18:34:29.0241
8482096,Eamon Powell,D,14,TBL,14,TBL,NA,NA,TRUE,5'11",180,165,74,Marcellus,New York,USA,2024-02-09 18:34:29.0241
8478500,Ivan Provorov,D,29,CBJ,29,CBJ,20232024,9,TRUE,6'1",185,220,99,Yaroslavl,NA,RUS,2024-02-09 18:34:29.0241
8482203,Kasper Puutio,D,13,FLA,13,FLA,NA,NA,TRUE,5'11",180,180,81,Vaasa,NA,FIN,2024-02-09 18:34:29.0241
8477293,Antti Raanta,G,12,CAR,12,CAR,20232024,32,TRUE,6'0",183,195,88,Rauma,NA,FIN,2024-02-09 18:34:29.0241
8479992,Michael Rasmussen,C,17,DET,17,DET,20232024,27,TRUE,6'6",198,220,99,Surrey,British Columbia,CAN,2024-02-09 18:34:29.0241
8476422,Mike Reilly,D,2,NYI,2,NYI,20232024,2,TRUE,6'1",185,196,88,Chicago,Illinois,USA,2024-02-09 18:34:29.0241
8479252,Dan Renouf,D,6,BOS,6,BOS,20222023,44,TRUE,6'3",191,202,91,Pickering,Ontario,CAN,2024-02-09 18:34:29.0241
8482179,Justin Richards,C,7,BUF,7,BUF,20222023,36,TRUE,5'11",180,190,86,Orlando,Florida,USA,2024-02-09 18:34:29.0241
8484477,Yegor Rimashevskiy,R,28,SJS,28,SJS,NA,NA,TRUE,6'2",188,197,89,Zhlobin,NA,BLR,2024-02-09 18:34:29.0241
8476438,Brandon Saad,L,19,STL,19,STL,20232024,20,TRUE,6'1",185,215,97,Pittsburgh,Pennsylvania,USA,2024-02-09 18:34:29.0241
8477482,Zachary Sanford,L,16,CHI,16,CHI,20232024,13,TRUE,6'4",193,206,93,Salem,Massachusetts,USA,2024-02-09 18:34:29.0241
8477463,Steven Santini,D,26,LAK,26,LAK,20222023,NA,TRUE,6'2",188,209,94,Bronxville,New York,USA,2024-02-09 18:34:29.0241
8479313,Zach Sawchenko,G,23,VAN,23,VAN,20212022,36,TRUE,6'1",185,185,83,Calgary,Alberta,CAN,2024-02-09 18:34:29.0241
8482073,Braden Schneider,D,3,NYR,3,NYR,20232024,4,TRUE,6'3",191,211,95,Prince Albert,Saskatchewan,CAN,2024-02-09 18:34:29.0241
8483878,Kai Schwindt,L,13,FLA,13,FLA,NA,97,TRUE,6'6",198,197,89,Kitchener,Ontario,CAN,2024-02-09 18:34:29.0241
8483599,Peetro Seppala,D,55,SEA,55,SEA,NA,76,TRUE,6'2",188,192,86,Kuusankoski,NA,FIN,2024-02-09 18:34:29.0241
8478854,Ryan Shea,D,5,PIT,5,PIT,20232024,5,TRUE,6'2",188,200,90,Milton,Massachusetts,USA,2024-02-09 18:34:29.0241
8480160,Radim Simek,D,28,SJS,28,SJS,20232024,51,TRUE,6'0",183,204,92,Mlada Boleslav,NA,CZE,2024-02-09 18:34:29.0241
8476958,Jaccob Slavin,D,12,CAR,12,CAR,20232024,74,TRUE,6'3",191,207,93,Denver,Colorado,USA,2024-02-09 18:34:29.0241
8480883,Ty Smith,D,5,PIT,5,PIT,20222023,24,TRUE,5'11",180,180,81,Lloydminster,Alberta,CAN,2024-02-09 18:34:29.0241
8478009,Ilya Sorokin,G,2,NYI,2,NYI,20232024,30,TRUE,6'3",191,195,88,Mezhdurechensk,NA,RUS,2024-02-09 18:34:29.0241
8483517,Jack Sparkes,D,26,LAK,26,LAK,NA,NA,TRUE,6'7",201,227,102,Ottawa,Ontario,CAN,2024-02-09 18:34:29.0241
8482524,Timofey Spitserov,R,28,SJS,28,SJS,NA,84,TRUE,5'11",180,174,78,Moscow,NA,RUS,2024-02-09 18:34:29.0241
8471686,Marc Staal,D,4,PHI,4,PHI,20232024,18,TRUE,6'4",193,208,94,Thunder Bay,Ontario,CAN,2024-02-09 18:34:29.0241
8476905,Chandler Stephenson,C,54,VGK,54,VGK,20232024,20,TRUE,6'0",183,209,94,Saskatoon,Saskatchewan,CAN,2024-02-09 18:34:29.0241
8482714,Chase Stillman,R,1,NJD,1,NJD,NA,61,TRUE,6'1",185,185,83,St. Louis,Missouri,USA,2024-02-09 18:34:29.0241
8476932,Anthony Stolarz,G,13,FLA,13,FLA,20232024,41,TRUE,6'6",198,243,109,Edison,New Jersey,USA,2024-02-09 18:34:29.0241
8482766,William Stromgren,L,20,CGY,20,CGY,NA,NA,TRUE,6'3",191,175,79,Ornskoldsvik,NA,SWE,2024-02-09 18:34:29.0241
8480459,Pius Suter,C,23,VAN,23,VAN,20232024,24,TRUE,5'11",180,179,81,Zurich,NA,CHE,2024-02-09 18:34:29.0241
8480275,Nick Swaney,R,30,MIN,30,MIN,20222023,72,TRUE,5'10",178,178,80,Burnsville,Minnesota,USA,2024-02-09 18:34:29.0241
8483669,Adam Sykora,L,3,NYR,3,NYR,NA,38,TRUE,5'11",180,192,86,Piestany,NA,SVK,2024-02-09 18:34:29.0241
8484423,Melker Thelin,G,53,ARI,53,ARI,NA,NA,TRUE,6'2",188,170,77,Umea,NA,SWE,2024-02-09 18:34:29.0241
8484268,Nikita Tolopilo,G,23,VAN,23,VAN,NA,NA,TRUE,6'6",198,229,103,Minsk,NA,BLR,2024-02-09 18:34:29.0241
8483519,Gleb Trikozov,L,12,CAR,12,CAR,NA,NA,TRUE,6'1",185,185,83,Omsk,NA,RUS,2024-02-09 18:34:29.0241
8482167,Bogdan Trineyev,R,15,WSH,15,WSH,NA,88,TRUE,6'3",191,198,89,Voronezh,NA,RUS,2024-02-09 18:34:29.0241
8481532,Alex Turcotte,C,26,LAK,26,LAK,20222023,39,TRUE,5'11",180,185,83,Elk Grove,Illinois,USA,2024-02-09 18:34:29.0241
8482525,Ryan Tverberg,C,10,TOR,10,TOR,NA,77,TRUE,5'11",180,187,84,Richmond Hill,Ontario,CAN,2024-02-09 18:34:29.0241
8482174,William Villeneuve,D,10,TOR,10,TOR,NA,76,TRUE,6'2",188,183,82,Sherbrooke,Quebec,CAN,2024-02-09 18:34:29.0241
8482883,William Von Barnekow Lofberg,C,7,BUF,7,BUF,NA,NA,TRUE,6'2",188,158,71,Malmo,NA,SWE,2024-02-09 18:34:29.0241
8482884,Semyon Vyazovoi,G,55,SEA,55,SEA,NA,NA,TRUE,6'2",188,169,76,Ufa,NA,RUS,2024-02-09 18:34:29.0241
8484238,Anton Wahlberg,C,7,BUF,7,BUF,NA,NA,TRUE,6'3",191,194,87,Malmo,NA,SWE,2024-02-09 18:34:29.0241
8471218,Blake Wheeler,R,3,NYR,3,NYR,20232024,17,TRUE,6'5",196,222,100,Plymouth,Minnesota,USA,2024-02-09 18:34:29.0241
8483059,Gavin White,D,25,DAL,25,DAL,NA,74,TRUE,6'0",183,196,88,Brockville,Ontario,CAN,2024-02-09 18:34:29.0241
8484486,Zaccharya Wisdom,R,55,SEA,55,SEA,NA,NA,TRUE,6'0",183,175,79,Toronto,Ontario,CAN,2024-02-09 18:34:29.0241
8478450,Parker Wotherspoon,D,6,BOS,6,BOS,20232024,29,TRUE,6'1",185,195,88,Surrey,British Columbia,CAN,2024-02-09 18:34:29.0241
8476452,Tyler Wotherspoon,D,1,NJD,1,NJD,20162017,34,TRUE,6'2",188,207,93,Burnaby,British Columbia,CAN,2024-02-09 18:34:29.0241
8484418,Stanislav Yarovoi,R,12,CAR,12,CAR,NA,NA,TRUE,5'11",180,190,86,Tuymazy,NA,RUS,2024-02-09 18:34:29.0241
8482195,Chase Yoder,C,5,PIT,5,PIT,NA,NA,TRUE,5'10",178,176,79,Fairview,Texas,USA,2024-02-09 18:34:29.0241
8480821,Filip Zadina,R,28,SJS,28,SJS,20232024,18,TRUE,6'0",183,190,86,Pardubice,NA,CZE,2024-02-09 18:34:29.0241
8482498,Dmitry Zlodeyev,C,23,VAN,23,VAN,NA,NA,TRUE,5'11",180,185,83,Voronezh,NA,RUS,2024-02-09 18:34:29.0241
8455851,Landis Chaulk,L,NA,NA,NA,NA,NA,NA,FALSE,6'0",183,200,90,Swift Current,Saskatchewan,CAN,2024-02-09 18:34:29.0241
8445364,Lude Check,L,NA,NA,NA,NA,19441945,7,FALSE,5'10",178,165,74,Brandon,Manitoba,CAN,2024-02-09 18:34:29.0241
8446053,Chris Chelios,D,NA,NA,11,ATL,20092010,24,FALSE,6'0",183,191,86,Chicago,Illinois,USA,2024-02-09 18:34:29.0241
8466233,Mikhail Chernov,D,NA,NA,18,NSH,NA,NA,FALSE,6'2",188,196,88,Yaroslavl,NA,RUS,2024-02-09 18:34:29.0241
8460532,Scott Cherrey,L,NA,NA,15,WSH,NA,NA,FALSE,6'1",185,199,90,Drayton,Ontario,CAN,2024-02-09 18:34:29.0241
8480503,Travis Child,G,NA,NA,NA,NA,NA,NA,FALSE,6'1",185,192,86,Killam,Alberta,CAN,2024-02-09 18:34:29.0241
8446045,Colin Chisholm,D,NA,NA,NA,NA,19861987,16,FALSE,6'3",191,200,90,Edmonton,Alberta,CAN,2024-02-09 18:34:29.0241
8455871,Jeffrey Christian,L,NA,NA,16,CHI,19971998,72,FALSE,6'1",185,210,95,Burlington,Ontario,CAN,2024-02-09 18:34:29.0241
8471447,Matt Christie,C,NA,NA,24,ANA,NA,NA,FALSE,5'10",178,185,83,Toronto,Ontario,CAN,2024-02-09 18:34:29.0241
8445465,Bob Chrystal,D,NA,NA,NA,NA,19541955,6,FALSE,6'0",183,180,81,Winnipeg,Manitoba,CAN,2024-02-09 18:34:29.0241
8446023,Dave Chyzowski,L,NA,NA,9,OTT,19961997,54,FALSE,6'1",185,190,86,Edmonton,Alberta,CAN,2024-02-09 18:34:29.0241
8455873,Ron Chyzowski,C,NA,NA,NA,NA,NA,NA,FALSE,5'11",180,185,83,Edmonton,Alberta,CAN,2024-02-09 18:34:29.0241
